id,from_node,to_node,link_type,length,label,fhwa_fc,ab_ln,ba_ln,area_type,ff_speed,bike_class,ab_gain,ba_gain,ab_ivt,ba_ivt,wait
1,0,1,TWO LANE,0.27998,EL TORO DR,19,1,1,2,19,0,0.0,13.743197824073036,0,0,0
2,2,3,MULTILANE,1.489899,RESERVATION RD,2,2,2,1,56,0,0.0,19.879841741926995,0,0,0
3,4,5,TWO LANE,0.095162,MURPHY HILL RD,9,1,1,1,30,0,54.91052712668201,0.0,0,0,0
4,6,4,TWO LANE,0.123911,MURPHY HILL RD,9,1,1,1,30,0,31.762836486336,0.0,0,0,0
5,8,6,TWO LANE,0.227394,VIA DEL LOMAS,9,1,1,2,37,0,0.0,29.787641810619988,0,0,0
6,10,6,TWO LANE,0.110751,MURPHY HILL RD,9,1,1,1,30,0,38.742818857428006,0.0,0,0,0
7,8,10,TWO LANE,0.296469,VIA MANZANA,9,1,1,1,30,0,0.0,68.530460668048,0,0,0
9,10,17,TWO LANE,0.21641,VIA MANZANA,9,1,1,1,30,0,0.0,38.90708988420019,0,0,0
10,18,19,MULTILANE,0.187815,SALINAS RD,14,2,2,9,17,3,0.0,1.9284809042462996,0,0,0
11,20,10,TWO LANE,1.15991,MURPHY HILL RD,9,1,1,1,30,0,58.22366303972119,0.0,0,0,0
12,22,23,TWO LANE,0.138362,AROMAS RD,7,1,1,1,31,0,2.2357843053621878,0.0,0,0,0
13,24,25,TWO LANE,0.138223,VEGA ST,9,1,1,2,37,0,12.944339141444999,0.0,0,0,0
14,22,24,TWO LANE,0.149381,MARCUS ST,9,1,1,1,30,0,9.2894636739898,0.0,0,0,0
15,28,29,TWO LANE,0.070728,BLOHM AVE,9,1,1,9,26,0,9.961053142396992,0.0,0,0,0
16,30,28,TWO LANE,0.065693,BLOHM AVE,9,1,1,2,37,0,4.943049173030005,0.0,0,0,0
17,24,30,TWO LANE,0.077006,MARCUS ST,9,1,1,1,30,0,11.644476042018994,0.0,0,0,0
18,34,22,TWO LANE,0.491797,AROMAS RD,7,1,1,1,31,0,0.0,17.8871254908438,0,0,0
19,36,37,TWO LANE,0.027684,ROSE AVE,9,1,1,1,30,0,3.3125289156059807,0.0,0,0,0
20,36,39,TWO LANE,0.109214,ROSE AVE,9,1,1,3,15,0,0.0,17.558070305450997,0,0,0
21,39,41,TWO LANE,0.068975,ROSE AVE,9,1,1,3,15,0,0.0,12.735381839783003,0,0,0
22,42,43,TWO LANE,1.421561,GARIN RD,9,1,1,1,30,0,0.0,20.9483011501043,0,0,0
23,44,45,TWO LANE,0.111164,SEELY AVE,9,1,1,1,30,0,20.17056222349902,0.0,0,0,0
24,46,47,TWO LANE,0.157489,LAS LOMAS DR,9,1,1,2,37,0,26.540856348873987,0.0,0,0,0
25,44,49,TWO LANE,0.098563,CARPENTERIA RD,7,1,1,1,31,0,0.0,10.35928100425798,0,0,0
26,50,51,TWO LANE,0.251616,RAMADERO WAY,9,1,1,1,30,0,106.70148794419501,0.0,0,0,0
27,52,53,TWO LANE,0.078643,SALINAS RD,6,1,1,1,38,0,5.346658661610007,0.0,0,0,0
28,54,46,TWO LANE,0.161663,OVERPASS RD,9,1,1,2,37,0,0.0,42.168962673878,0,0,0
29,56,57,TWO LANE,0.382895,MCGOWAN RD,9,1,1,1,30,3,2.4140960588229987,0.0,0,0,0
30,58,59,TWO LANE,0.258093,HWY 1,2,1,1,1,56,0,0.0,20.675709241331987,0,0,0
31,60,61,TWO LANE,0.410248,RED HAWK LN,9,1,1,1,30,0,175.283987691082,0.0,0,0,0
32,62,46,TWO LANE,0.290503,LAS LOMAS DR,9,1,1,2,37,0,43.209637869687,0.0,0,0,0
33,43,65,TWO LANE,0.33926,ELKHORN RD,2,1,1,1,38,2,37.5482541682526,0.0,0,0,0
34,66,67,TWO LANE,1.361145,HUDSON LANDING R,9,1,1,1,30,0,25.3719795407275,0.0,0,0,0
35,68,62,TWO LANE,0.080905,LAS LOMAS DR,9,1,1,3,15,0,11.475104985274605,0.0,0,0,0
36,54,71,TWO LANE,0.154559,MILLER RD,9,1,1,3,15,0,0.0,7.515541837596999,0,0,0
37,72,60,TWO LANE,0.209909,AIMEE MEADOWS RD,9,1,1,1,30,0,0.0,23.058493306318013,0,0,0
38,49,75,TWO LANE,0.744452,CARPENTERIA RD,7,1,1,1,31,0,0.0,80.78222199687801,0,0,0
39,76,77,TWO LANE,0.374911,HARRINGTON RD,9,1,1,1,30,0,0.0,5.777576776940002,0,0,0
40,75,79,TWO LANE,0.034729,CARPENTERIA RD,7,1,1,1,31,0,0.0,8.943662868709993,0,0,0
41,80,68,TWO LANE,0.204266,LAS LOMAS DR,9,1,1,2,37,0,16.694140872304597,0.0,0,0,0
42,82,80,TWO LANE,0.167337,SILL RD,9,1,1,3,15,0,0.0,30.4792402923262,0,0,0
43,79,85,TWO LANE,0.321255,PIONEER PL,9,1,1,1,30,0,34.699903072648,0.0,0,0,0
44,86,77,TWO LANE,0.145956,SILL RD,9,1,1,1,30,0,28.1786856063083,0.0,0,0,0
45,88,89,TWO LANE,0.702726,PINI RD,9,1,1,1,30,0,109.64378910114809,0.0,0,0,0
46,86,88,TWO LANE,0.316654,HALL RD,2,1,1,1,38,2,11.5632228651072,0.0,0,0,0
47,92,93,TWO LANE,0.174772,WILLOW RD,9,1,1,3,15,0,24.4604727727534,0.0,0,0,0
48,92,95,TWO LANE,0.277663,BERRY RD,9,1,1,3,15,0,0.0,9.8313090056572,0,0,0
49,96,92,TWO LANE,0.019734,BERRY RD,9,1,1,2,37,0,0.0,0.6638924906572967,0,0,0
50,98,99,TWO LANE,1.258942,TARPEY RD,8,1,1,1,21,0,0.0,14.052409825362503,0,0,0
51,100,88,TWO LANE,0.588684,HALL RD,2,1,1,2,38,2,0.0,15.716624697988202,0,0,0
52,60,103,TWO LANE,0.422687,SUMMERLAND RD,9,1,1,1,30,0,0.0,81.5033099156978,0,0,0
53,99,105,TWO LANE,0.040185,TARPEY RD,7,1,1,1,21,0,0.0,13.219033639262193,0,0,0
54,79,107,TWO LANE,0.670746,CARPENTERIA RD,7,1,1,1,31,0,0.0,39.721336264623005,0,0,0
55,108,100,TWO LANE,0.339883,JOHNSON RD,9,1,1,1,30,0,18.947646999609603,0.0,0,0,0
56,110,111,TWO LANE,0.365735,EL CERRITO WAY,9,1,1,1,30,0,76.677918121257,0.0,0,0,0
57,112,58,TWO LANE,1.109999,HWY 1,2,1,1,1,56,0,0.0,7.333780523985013,0,0,0
58,114,108,TWO LANE,0.248867,MC GINNIS RD,9,1,1,1,30,0,0.0,40.5835823749935,0,0,0
59,116,108,TWO LANE,0.370839,JOHNSON RD,9,1,1,1,30,0,0.0,57.635266636926204,0,0,0
60,116,114,TWO LANE,0.124465,LIVE OAK RD,9,1,1,2,37,0,0.0,17.051684261932706,0,0,0
61,120,99,TWO LANE,1.535896,MAHER RD,7,1,1,1,31,0,0.0,120.41989899682922,0,0,0
62,122,123,TWO LANE,0.128556,CHARLES SCHELL L,9,1,1,1,30,0,60.2203341606719,0.0,0,0,0
63,124,125,TWO LANE,0.675171,DUNBARTON RD,9,1,1,1,30,0,22.409619308831992,0.0,0,0,0
64,126,127,TWO LANE,0.359266,STARR WAY,9,1,1,1,30,0,113.82905204152198,0.0,0,0,0
